2016-01-01~06:00:00,5.04878468183908E8,141.672
2016-01-01~06:15:00,5.04879368183909E8,139.579
2016-01-01~06:30:00,5.04880268183909E8,137.396
2016-01-01~06:45:00,5.04881168183909E8,135.142
2016-01-01~07:00:00,5.0488206818391E8,132.828
2016-01-01~07:15:00,5.0488296818391E8,130.467
2016-01-01~07:30:00,5.0488386818391E8,128.069
2016-01-01~07:45:00,5.0488476818391E8,125.643
2016-01-01~08:00:00,5.04885668183911E8,123.197
2016-01-01~08:15:00,5.04886568183911E8,120.738
2016-01-01~08:30:00,5.04887468183911E8,118.271
2016-01-01~08:45:00,5.04888368183912E8,115.803
2016-01-01~09:00:00,5.04889268183912E8,113.339
2016-01-01~09:15:00,5.04890168183912E8,110.885
2016-01-01~09:30:00,5.04891068183913E8,108.444
2016-01-01~09:45:00,5.04891968183913E8,106.022
2016-01-01~10:00:00,5.04892868183913E8,103.623
2016-01-01~10:15:00,5.04893768183913E8,101.253
2016-01-01~10:30:00,5.04894668183914E8,98.915
2016-01-01~10:45:00,5.04895568183914E8,96.614
2016-01-01~11:00:00,5.04896468183914E8,94.356
2016-01-01~11:15:00,5.04897368183915E8,92.146
2016-01-01~11:30:00,5.04898268183915E8,89.989
2016-01-01~11:45:00,5.04899168183915E8,87.891
2016-01-01~12:00:00,5.04900068183916E8,85.856
2016-01-01~12:15:00,5.04900968183916E8,83.893
2016-01-01~12:30:00,5.04901868183916E8,82.006
2016-01-01~12:45:00,5.04902768183917E8,80.203
2016-01-01~13:00:00,5.04903668183917E8,0.442
2016-01-01~13:15:00,5.04904568183917E8,0.436
2016-01-01~13:30:00,5.04905468183917E8,75.362
2016-01-01~13:45:00,5.04906368183918E8,73.962
2016-01-01~14:00:00,5.04907268183918E8,72.681
2016-01-01~14:15:00,5.04908168183918E8,71.525
2016-01-01~14:30:00,5.04909068183919E8,70.502
2016-01-01~14:45:00,5.04909968183919E8,69.617
2016-01-01~15:00:00,5.04910868183919E8,68.877
2016-01-01~15:15:00,5.04911768183919E8,68.286
2016-01-01~15:30:00,5.0491266818392E8,67.849
2016-01-01~15:45:00,5.0491356818392E8,67.569
2016-01-01~16:00:00,5.0491446818392E8,67.447
2016-01-01~16:15:00,5.04915368183921E8,67.486
2016-01-01~16:30:00,5.04916268183921E8,67.684
2016-01-01~16:45:00,5.04917168183921E8,68.039
2016-01-01~17:00:00,5.04918068183922E8,68.551
2016-01-01~17:15:00,5.04918968183922E8,69.213
2016-01-01~17:30:00,5.04919868183922E8,70.024
2016-01-01~17:45:00,5.04920768183923E8,70.975
2016-01-01~18:00:00,5.04921668183923E8,72.063
2016-01-01~18:15:00,5.04922568183923E8,73.28
2016-01-01~18:30:00,5.04923468183923E8,74.619
2016-01-01~18:45:00,5.04924368183924E8,76.073
2016-01-01~19:00:00,5.04925268183924E8,77.635
2016-01-01~19:15:00,5.04926168183924E8,79.299
2016-01-01~19:30:00,5.04927068183925E8,81.056
2016-01-01~19:45:00,5.04927968183925E8,82.899
2016-01-01~20:00:00,5.04928868183925E8,84.824
2016-01-01~20:15:00,5.04929768183926E8,86.821
2016-01-01~20:30:00,5.04930668183926E8,88.887
2016-01-01~20:45:00,5.04931568183926E8,91.013
2016-01-01~21:00:00,5.04932468183926E8,93.196
2016-01-01~21:15:00,5.04933368183927E8,95.429
2016-01-01~21:30:00,5.04934268183927E8,97.707
2016-01-01~21:45:00,5.04935168183927E8,100.025
2016-01-01~22:00:00,5.04936068183928E8,102.379
2016-01-01~22:15:00,5.04936968183928E8,104.762
2016-01-01~22:30:00,5.04937868183928E8,107.171
2016-01-01~22:45:00,5.04938768183929E8,109.602
2016-01-01~23:00:00,5.04939668183929E8,112.048
2016-01-01~23:15:00,5.04940568183929E8,114.506
2016-01-01~23:30:00,5.04941468183929E8,116.97
2016-01-01~23:45:00,5.0494236818393E8,119.436
2016-01-02~00:00:00,5.0494326818393E8,121.897
2016-01-02~00:15:00,5.0494416818393E8,124.348
2016-01-02~00:30:00,5.04945068183931E8,126.782
2016-01-02~00:45:00,5.04945968183931E8,129.192
2016-01-02~01:00:00,5.04946868183931E8,131.569
2016-01-02~01:15:00,5.04947768183932E8,133.904
2016-01-02~01:30:00,5.04948668183932E8,136.185
2016-01-02~01:45:00,5.04949568183932E8,138.401
2016-01-02~02:00:00,5.04950468183932E8,140.536
2016-01-02~02:15:00,5.04951368183933E8,142.573
2016-01-02~02:30:00,5.04952268183933E8,144.491
2016-01-02~02:45:00,5.04953168183933E8,146.268
2016-01-02~03:00:00,5.04954068183934E8,147.877
2016-01-02~03:15:00,5.04954968183934E8,149.289
2016-01-02~03:30:00,5.04955868183934E8,150.473
2016-01-02~03:45:00,5.04956768183935E8,151.401
2016-01-02~04:00:00,5.04957668183935E8,152.045
2016-01-02~04:15:00,5.04958568183935E8,152.384
2016-01-02~04:30:00,5.04959468183936E8,152.406
2016-01-02~04:45:00,5.04960368183936E8,152.112
2016-01-02~05:00:00,5.04961268183936E8,151.51
2016-01-02~05:15:00,5.04962168183936E8,150.62
2016-01-02~05:30:00,5.04963068183937E8,149.47
2016-01-02~05:45:00,5.04963968183937E8,148.088
